filepath,class_key,class_id,split,source,group_id
test/maize_common_rust/RS_Rust 1652.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:17
test/maize_common_rust/RS_Rust 1680.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:23
test/maize_common_rust/RS_Rust 1695.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:24
test/maize_common_rust/RS_Rust 1697.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:26
test/maize_common_rust/RS_Rust 1772.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:39
test/maize_common_rust/RS_Rust 1776.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:41
test/maize_common_rust/RS_Rust 1803.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:43
test/maize_common_rust/RS_Rust 1867.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:53
test/maize_common_rust/RS_Rust 1879.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:57
test/maize_common_rust/RS_Rust 1886.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:58
test/maize_common_rust/RS_Rust 1962.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:69
test/maize_common_rust/RS_Rust 1995.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:75
test/maize_common_rust/RS_Rust 2017.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:83
test/maize_common_rust/RS_Rust 2051.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:92
test/maize_common_rust/RS_Rust 2071.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:96
test/maize_common_rust/RS_Rust 2095.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:101
test/maize_common_rust/RS_Rust 2106.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:107
test/maize_common_rust/RS_Rust 2111.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:108
test/maize_common_rust/RS_Rust 2135.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:117
test/maize_common_rust/RS_Rust 2214.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:129
test/maize_common_rust/RS_Rust 2252.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:139
test/maize_common_rust/RS_Rust 2266.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:143
test/maize_common_rust/RS_Rust 2304.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:150
test/maize_common_rust/RS_Rust 2321.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:156
test/maize_common_rust/RS_Rust 2350.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:163
test/maize_common_rust/RS_Rust 2375.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:166
test/maize_common_rust/RS_Rust 2463.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:177
test/maize_common_rust/RS_Rust 2525.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:189
test/maize_common_rust/RS_Rust 2540.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:194
test/maize_common_rust/RS_Rust 2566.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:197
test/maize_common_rust/RS_Rust 2606.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:210
test/maize_common_rust/RS_Rust 2624.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:216
test/maize_common_rust/RS_Rust 2646.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:218
test/maize_common_rust/RS_Rust 2692.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:222
test/maize_common_rust/RS_Rust 2694.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:223
test/maize_common_rust/RS_Rust 2727.jpg,maize_common_rust,0,test,plantvillage,maize_common_rust:229
test/maize_healthy/01c3bf88-d315-42a3-8fa1-fc80a05c97f1___R.S_HL 8189 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:0
test/maize_healthy/06ebb8a5-b811-465a-923b-849b27969bad___R.S_HL 0632 copy 5.jpg,maize_healthy,1,test,plantvillage,maize_healthy:3
test/maize_healthy/0f6d1e23-9ac3-4d2d-bd32-9b0cb91bf4e3___R.S_HL 0625 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:12
test/maize_healthy/1003bded-8167-4819-a1d8-627449fe7781___R.S_HL 7991 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:14
